Kod;Województwo;Powiat;Gmina;Komentarz
14-500;warmiñsko-mazurskie;braniewski;Braniewo;
14-520;warmiñsko-mazurskie;braniewski;Pieniê¿no;
14-521;warmiñsko-mazurskie;braniewski;Lelkowo;
14-526;warmiñsko-mazurskie;braniewski;P³oskinia;
14-530;warmiñsko-mazurskie;braniewski;Frombork;
15-001;podlaskie;Bia³ystok;Bia³ystok;ca³e miasto jako 1 kszta³t
15-378;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
15-509;podlaskie;bia³ostocki;Supraœl;
15-511;podlaskie;bia³ostocki;Supraœl;
15-523;podlaskie;bia³ostocki;Supraœl;
15-528;podlaskie;bia³ostocki;Supraœl;
15-592;podlaskie;bia³ostocki;Zab³udów;
15-593;podlaskie;bia³ostocki;Zab³udów;
15-603;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
15-604;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
15-605;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
15-606;podlaskie;bia³ostocki;Zab³udów;
15-608;podlaskie;bia³ostocki;Zab³udów;
15-616;podlaskie;bia³ostocki;Choroszcz;
15-623;podlaskie;bia³ostocki;Choroszcz;
15-635;podlaskie;bia³ostocki;Choroszcz;
15-694;podlaskie;bia³ostocki;Dobrzyniewo Du¿e;
16-001;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
16-002;podlaskie;bia³ostocki;Dobrzyniewo Du¿e;
16-005;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
16-010;podlaskie;bia³ostocki;Wasilków;
16-020;podlaskie;bia³ostocki;Czarna Bia³ostocka;
16-030;podlaskie;bia³ostocki;Supraœl;
16-040;podlaskie;bia³ostocki;Gródek;
16-050;podlaskie;bia³ostocki;Micha³owo;
16-060;podlaskie;bia³ostocki;Zab³udów;
16-061;podlaskie;bia³ostocki;Juchnowiec Koœcielny;
16-070;podlaskie;bia³ostocki;Choroszcz;
16-075;podlaskie;bia³ostocki;Zawady;
16-080;podlaskie;bia³ostocki;Tykocin;
16-100;podlaskie;sokólski;Sokó³ka;
16-113;podlaskie;sokólski;Szudzia³owo;
16-120;podlaskie;sokólski;Krynki;
16-123;podlaskie;sokólski;KuŸnica;
16-124;podlaskie;sokólski;Sidra;
16-130;podlaskie;sokólski;Janów;
16-140;podlaskie;sokólski;Korycin;
16-150;podlaskie;sokólski;Suchowola;
16-200;podlaskie;sokólski;D¹browa Bia³ostocka;
16-205;podlaskie;sokólski;Nowy Dwór;
16-300;podlaskie;augustowski;Augustów;
16-304;podlaskie;augustowski;Nowinka;
16-310;podlaskie;augustowski;Sztabin;
16-315;podlaskie;augustowski;Lipsk;
16-316;podlaskie;augustowski;Lipsk;
16-320;podlaskie;augustowski;Barg³ów Koœcielny;
16-326;podlaskie;augustowski;P³aska;
16-402;podlaskie;Suwa³ki;Suwa³ki;
16-404;podlaskie;suwalski;Jeleniewo;
